row_id,price_single,price_min,price_max,log_price_single,log_price_min,log_price_max,durasi_hari,log_durasi,rating_imputed,has_rating,skill_count,has_premium_skill,price_range_width,has_price_range,title_length,title_word_count,desc_length,has_description,has_urgency,is_service_based,kategori_Grafis & Desain,kategori_Pemasaran & Periklanan,kategori_Penulisan & Penerjemahan,kategori_Visual & Audio,kategori_Web dan Pemrograman,platform_fastwork,platform_projects,platform_sribu,skill_seo,skill_logo_design,skill_video_editing,skill_tiktok_ads,skill_translation,skill_ui_ux_design,skill_content_writing,skill_animation,skill_instagram,skill_wordpress,skill_machine_learning,skill_data_analysis,skill_figma,skill_branding,skill_excel,skill_flutter,skill_google_ads,skill_python,skill_canva,skill_copywriting,skill_react,skill_laravel,skill_kotlin,skill_data_science,skill_html_css,skill_deep_learning,skill_meta_ads,skill_react_native,skill_php,skill_java,skill_javascript,skill_nextjs,skill_facebook_ads,skill_after_effects,skill_3d_modeling,skill_video_production,skill_tableau,skill_power_bi,skill_running,skill_adobe_xd,skill_mobile_programming,skill_swift,skill_website_building,skill_laravel_framework,skill_website
41,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,3.0,1.3862943611198906,5.0,0,0,0,0.0,0,55,8,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,5.0,1.791759469228055,5.0,1,0,0,0.0,0,44,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,3.0,1.3862943611198906,4.8,1,1,0,0.0,0,70,10,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2500000.0,2500000.0,2500000.0,14.731801689838349,14.731801689838349,14.731801689838349,5.0,1.791759469228055,4.9,1,0,0,0.0,0,96,13,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2500000.0,2500000.0,2500000.0,14.731801689838349,14.731801689838349,14.731801689838349,5.0,1.791759469228055,4.5,1,0,0,0.0,0,75,11,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2500000.0,2500000.0,2500000.0,14.731801689838349,14.731801689838349,14.731801689838349,14.0,2.70805020110221,5.0,0,0,0,0.0,0,66,9,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,3.0,1.3862943611198906,5.0,1,0,0,0.0,0,23,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,5.0,1.791759469228055,4.9,1,0,0,0.0,0,87,11,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,3.0,1.3862943611198906,5.0,1,0,0,0.0,0,100,14,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1500000.0,1500000.0,1500000.0,14.220976332738882,14.220976332738882,14.220976332738882,5.0,1.791759469228055,5.0,0,0,0,0.0,0,48,7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,500000.0,500000.0,500000.0,13.122365377402328,13.122365377402328,13.122365377402328,7.0,2.0794415416798357,4.7,1,3,0,0.0,0,78,10,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1500000.0,1500000.0,1500000.0,14.220976332738882,14.220976332738882,14.220976332738882,7.0,2.0794415416798357,5.0,0,3,0,0.0,0,75,8,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3000000.0,3000000.0,3000000.0,14.914123179965662,14.914123179965662,14.914123179965662,3.0,1.3862943611198906,5.0,0,0,0,0.0,0,78,11,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,500000.0,500000.0,500000.0,13.122365377402328,13.122365377402328,13.122365377402328,7.0,2.0794415416798357,5.0,1,0,0,0.0,0,72,10,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1500000.0,1500000.0,1500000.0,14.220976332738882,14.220976332738882,14.220976332738882,5.0,1.791759469228055,4.9,1,1,0,0.0,0,90,11,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,1.0,0.6931471805599453,5.0,0,0,0,0.0,0,71,8,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,7.0,2.0794415416798357,5.0,1,0,0,0.0,0,38,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,3.0,1.3862943611198906,5.0,0,0,0,0.0,0,35,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,5000000.0,5000000.0,5000000.0,15.424948670398354,15.424948670398354,15.424948670398354,14.0,2.70805020110221,5.0,1,0,0,0.0,0,67,11,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,3.0,1.3862943611198906,5.0,1,1,0,0.0,0,53,9,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,30.0,3.4339872044851463,5.0,1,2,0,0.0,0,26,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
