platform,kategori_utama,sub_kategori,judul_listing,harga,rating,jumlah_order,durasi_hari,skills,url_listing
fastwork,Web dan Pemrograman,Web Development,"Website Custom Bisnis | Olshop, ERP, MLM, dll | Siap Online, Harga mulai 300K",500000.0,4.9,19.0,3.0,,https://fastwork.id/user/noir1349/web-development-97766390?badges=milestone%2Crehire&page=1&position=35&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Pembuatan Website WordPress (Landing Page, Company Profile, eCommerce, dll)",1400000.0,4.7,54.0,3.0,WordPress,https://fastwork.id/user/iiindraw/web-development-43633047?badges=&page=1&position=36&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,PROMO WEBSITE - Company Profile | LMS | Toko Online | Landing Page | Sistem Informasi | CMS,1400000.0,5.0,12.0,5.0,,https://fastwork.id/user/reihanalavi/web-development-93639392?badges=milestone%2Crehire&page=1&position=37&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Perbaikan Website,500000.0,4.9,36.0,3.0,,https://fastwork.id/user/riowebdev/web-development-16998537?badges=milestone&page=1&position=38&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Website Profesional , Web Development, Shopify",1500000.0,5.0,39.0,7.0,Shopify,https://fastwork.id/user/adamrege/web-development-65003115?badges=&page=1&position=39&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,[BISA REQUEST] Pembuatan Website custom,1400000.0,5.0,16.0,5.0,,https://fastwork.id/user/ilhpedia/web-development-81356849?badges=&page=1&position=40&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Aplikasi Website Custom Murah (UMKM, Bisnis, Skripsi)",1400000.0,5.0,41.0,3.0,,https://fastwork.id/user/crisna977/web-development-47028977?badges=milestone&page=2&position=1&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Workflow Automation Bisnis & Bot Sistem Internal Bisnis,1400000.0,,,,,https://fastwork.id/user/fitrahathaillah/web-development-33983454?badges=&page=2&position=2&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Website Company Profile, Management Stok, AI",1400000.0,5.0,6.0,5.0,,https://fastwork.id/user/dhanztdadeveloper/web-development-27710848?badges=milestone%2Crehire&page=2&position=3&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website Laravel: CRUD, Dashboard Admin, & Fitur Lengkap",1400000.0,4.8,15.0,3.0,Laravel,https://fastwork.id/user/hilmanardi/web-development-55821658?badges=&page=2&position=4&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website Company Profile, Toko Online, Kursus Online, Travel maupun Custom Website",2500000.0,4.9,67.0,5.0,,https://fastwork.id/user/maseyo/web-development-99256631?badges=milestone%2Crehire&page=2&position=5&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Jasa Pembuatan Website Top Up Game Termurah & Terpercaya Serta Professional,2500000.0,4.5,12.0,5.0,,https://fastwork.id/user/fadhilamjd/web-development-83021051?badges=&page=2&position=6&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Website Presensi Online Berbasis GPS dan Face Recognition Realtime,2500000.0,,,14.0,,https://fastwork.id/user/adityabudi/web-development-54079575?badges=&page=2&position=7&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,Website Company Profile,1400000.0,5.0,36.0,3.0,,https://fastwork.id/user/annuhliwan/web-development-63239890?badges=rehire&page=2&position=8&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Website Profesional (Landing Page, Company Profile, Blog, Ecommerce dll)",1400000.0,4.9,195.0,5.0,,https://fastwork.id/user/aripid/web-development-52379915?badges=milestone&page=2&position=9&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Jasa Pembuatan Aplikasi Web Profesional, Company Profile, ERP, CRM, HRIS, LMS, Sistem Akuntansi, dll",1400000.0,5.0,37.0,3.0,,https://fastwork.id/user/vantqabv/web-development-96196020?badges=milestone%2Crehire&page=2&position=10&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Website Company Profile, Sosmed & Custom Website",1500000.0,,,5.0,,https://fastwork.id/user/adityabudi/web-development-21247165?badges=&page=2&position=11&source=browse&subcategorySlug=web-development
fastwork,Web dan Pemrograman,Web Development,"Pembuatan Website Profesional Laravel & CodeIgniter | Sekolah, UMKM, eCommerce",500000.0,4.7,54.0,7.0,"Laravel, CodeIgniter",https://fastwork.id/user/alfinaswar/web-development-60379990?badges=milestone&page=2&position=12&source=browse&subcategorySlug=web-development
