platform,kategori_utama,sub_kategori,judul_listing,harga,rating,jumlah_order,durasi_hari,skills,url_listing,harga_raw,rating_raw,jumlah_order_raw,durasi_raw
sribu,Web dan Pemrograman,Web Development,Pembuatan Aplikasi Dompetin  Manajemen Keuangan,3500000.0,5.0,,1.0,,https://www.sribu.com/id/users/vikaputri/pembuatan-aplikasi-dompetin-manajemen-keuangan-5ef3f4be-4491-4ae4-81af-a7b237301a89,Rp3.500.000,5.0,,Respon Chat4 jamProyek Berjalan1
sribu,Web dan Pemrograman,Web Development,Sistem Absensi Wajah berbasis AI,35000000.0,5.0,,1.0,,https://www.sribu.com/id/users/vikaputri/sistem-absensi-wajah-berbasis-ai-e4a0198b-1751-4a6c-b3ab-b1a3ea2f046e,Rp35.000.000,5.0,,Respon Chat4 jamProyek Berjalan1
sribu,Web dan Pemrograman,Web Development,Website Profesional dengan Kontrak Jangka Panjang ,500000.0,5.0,,1.0,,https://www.sribu.com/id/users/defirsaa/website-profesional-dengan-kontrak-jangka-panjang-66882c29-8961-43a0-8b33-df159dc15299,Rp500.000,5.0,,Respon Chat9 jamProyek Berjalan0
sribu,Web dan Pemrograman,Web Development,Custom Company Profile Website profesional,1500000.0,5.0,,1.0,,https://www.sribu.com/id/users/defirsaa/custom-company-profile-website-profesional-e040f5e8-0df3-49c4-a0b7-dc0009d8cfe6,Rp1.500.000,5.0,,Respon Chat9 jamProyek Berjalan0
sribu,Web dan Pemrograman,Web Development,3D Animated Website dan Sistem Booking ,500000.0,5.0,,1.0,,https://www.sribu.com/id/users/ganesha23/3d-animated-website-dan-sistem-booking-050c54f5-4cf2-4ab9-87d5-be233613e2cd,Rp500.000,5.0,,Respon Chat16 jamProyek Berjalan1
sribu,Web dan Pemrograman,Web Development,Jasa Pembuatan Website UMKM connect to WhatsApp,300000.0,5.0,,3.0,,https://www.sribu.com/id/users/irfanscout/jasa-pembuatan-website-umkm-connect-to-whatsapp-2a8b0bb1-dc89-449c-8e71-840d5e53006e,Rp300.000,5.0,,Waktu pengerjaan: 2–3 hari
sribu,Web dan Pemrograman,Web Development,Jasa pembuatan landing page dan source code,500000.0,5.0,,1.0,,https://www.sribu.com/id/users/Sembot1212/jasa-pembuatan-landing-page-dan-source-code-9c1732bf-9d98-4165-bed7-7175f3c87fb9,Rp500.000,5.0,,Promo berakhir dalam 1 Hari Lagi!
sribu,Web dan Pemrograman,Web Development,Digitalisasi UMKM dengan AppSheet,350000.0,5.0,,15.0,,https://www.sribu.com/id/users/Felytomboy/digitalisasi-umkm-dengan-appsheet-1b98822d-4e5b-45ad-bda6-4b07403cdfdc,Rp350.000,5.0,,15 Hari Pengerjaan3 Revisi
sribu,Web dan Pemrograman,Web Development,Web Developer and Maintenance,700000.0,5.0,,3.0,,https://www.sribu.com/id/users/Achmad_Farhan/web-developer-and-maintenance-5b89ec86-f5c2-4b7c-9555-810efd7e53fe,Rp700.000,5.0,,3 Hari Pengerjaan1 Revisi
sribu,Web dan Pemrograman,Web Development,Jasa Pembuatan Website E-commerce,3000000.0,5.0,,7.0,,https://www.sribu.com/id/users/abdulfataah/jasa-pembuatan-website-e-commerce-d979ab40-5793-4069-8159-63263faf8faa,Rp3.000.000,5.0,,7 Hari Pengerjaan2 Revisi
